id,verse_id,recording_id,start,end
3,40015004,JH,40.690,55.300
4,40015005,JH,55.300,66.450
5,40015006,JH,66.450,77.240
6,40015007,JH,77.240,84.820
7,40015008,JH,84.820,94.830
8,40015009,JH,94.830,104.560
9,40015010,JH,104.560,111.493
10,40015011,JH,111.493,126.220
11,40015012,JH,126.220,137.018
12,40015013,JH,137.018,148.090
13,40015014,JH,148.090,161.120
14,40015015,JH,161.120,167.730
15,40015016,JH,167.730,173.300
16,40015017,JH,173.300,185.830
17,40015018,JH,185.830,197.830
18,40015019,JH,197.830,212.060
19,40015020,JH,212.060,223.750
20,40015021,JH,223.750,231.950
21,40015022,JH,231.950,248.850
22,40015023,JH,248.850,264.140
23,40015024,JH,264.140,274.700
24,40015025,JH,274.700,282.400
25,40015026,JH,282.400,293.490
26,40015027,JH,293.490,305.140
27,40015028,JH,305.140,323.264
28,40015029,JH,323.264,334.860
29,40015030,JH,334.860,354.330
30,40015031,JH,354.330,373.730
31,40015032,JH,373.730,398.601
32,40015033,JH,398.601,410.830
33,40015034,JH,410.830,422.396
34,40015035,JH,422.396,426.832
35,40015036,JH,426.832,439.877
36,40015037,JH,439.877,449.990
37,40015038,JH,449.990,458.412
38,40015039,JH,458.412,466.719
0,40016001,JH,3.877,16.810
1,40016002,JH,16.810,20.360
2,40016003,JH,20.328,20.328
3,40016004,JH,20.328,38.050
4,40016005,JH,38.050,45.130
5,40016006,JH,45.130,55.220
6,40016007,JH,55.220,63.450
7,40016008,JH,63.450,73.790
8,40016009,JH,73.790,84.610
9,40016010,JH,84.610,93.460
10,40016011,JH,93.460,106.717
11,40016012,JH,106.717,121.630
12,40016013,JH,121.630,137.429
13,40016014,JH,137.429,149.600
14,40016015,JH,149.600,156.130
15,40016016,JH,156.130,166.800
16,40016017,JH,166.800,182.810
17,40016018,JH,182.810,201.500
18,40016019,JH,201.500,224.970
19,40016020,JH,224.970,236.150
20,40016021,JH,236.150,261.158
21,40016022,JH,261.158,273.970
22,40016023,JH,273.970,288.550
23,40016024,JH,288.550,306.180
24,40016025,JH,306.180,321.220
25,40016026,JH,321.220,339.650
26,40016027,JH,339.650,357.180
27,40016028,JH,357.180,376.679
0,40017001,JH,4.500,20.610
1,40017002,JH,20.610,36.670
2,40017003,JH,36.670,45.620
3,40017004,JH,45.620,64.140
4,40017005,JH,64.140,86.010
5,40017006,JH,86.010,95.300
6,40017007,JH,95.300,104.890
7,40017008,JH,104.890,113.900
8,40017009,JH,113.900,131.020
9,40017010,JH,131.020,143.590
10,40017011,JH,143.590,151.840
11,40017012,JH,151.840,173.210
12,40017013,JH,173.210,180.890
13,40017014,JH,180.890,187.730
14,40017015,JH,187.730,202.395
15,40017016,JH,202.395,211.090
16,40017017,JH,211.090,228.570
17,40017018,JH,228.570,240.890
18,40017019,JH,240.890,252.730
19,40017020,JH,252.730,278.372
20,40017021,JH,278.372,278.460
21,40017022,JH,278.460,292.040
22,40017023,JH,292.040,304.000
23,40017024,JH,304.000,318.680
24,40017025,JH,318.680,345.250
25,40017026,JH,345.250,360.430
26,40017027,JH,360.430,382.877
0,40018001,JH,5.001,17.600
1,40018002,JH,17.600,23.973
2,40018003,JH,23.973,39.330
3,40018004,JH,39.330,51.370
4,40018005,JH,51.370,61.955
5,40018006,JH,61.955,84.220
6,40018007,JH,84.220,101.040
7,40018008,JH,101.040,127.138
8,40018009,JH,127.138,148.730
9,40018010,JH,148.730,168.730
10,40018011,JH,168.730,169.125
11,40018012,JH,169.125,189.650
12,40018013,JH,189.650,205.840
13,40018014,JH,205.840,217.260
14,40018015,JH,217.260,233.080
15,40018016,JH,233.080,249.100
16,40018017,JH,249.100,265.930
17,40018018,JH,265.930,284.510
18,40018019,JH,284.510,305.340
19,40018020,JH,305.340,316.410
20,40018021,JH,316.410,331.550
21,40018022,JH,331.550,342.100
22,40018023,JH,342.100,355.370
23,40018024,JH,355.370,365.190
24,40018025,JH,365.190,381.290
25,40018026,JH,381.290,391.940
26,40018027,JH,391.940,402.720
27,40018028,JH,402.720,421.030
28,40018029,JH,421.030,430.460
29,40018030,JH,430.460,442.030
30,40018031,JH,442.030,456.530
31,40018032,JH,456.530,473.110
32,40018033,JH,473.110,482.280
33,40018034,JH,482.280,495.200
34,40018035,JH,495.200,509.520
0,40019001,JH,4.826,19.660
1,40019002,JH,19.660,27.450
2,40019003,JH,27.450,42.290
3,40019004,JH,42.290,55.310
4,40019005,JH,55.310,71.630
5,40019006,JH,71.630,85.780
6,40019007,JH,85.780,96.370
7,40019008,JH,96.377,112.589
8,40019009,JH,112.589,133.620
9,40019010,JH,133.620,146.256
10,40019011,JH,146.256,155.430
11,40019012,JH,155.430,184.890
12,40019013,JH,184.890,199.350
13,40019014,JH,199.350,214.520
14,40019015,JH,214.520,220.450
15,40019016,JH,220.450,232.540
16,40019017,JH,232.540,249.160
17,40019018,JH,249.160,261.739
18,40019019,JH,261.739,270.490
19,40019020,JH,270.490,279.290
20,40019021,JH,279.281,300.169
21,40019022,JH,300.169,310.740
22,40019023,JH,310.740,325.141
23,40019024,JH,325.141,340.450
24,40019025,JH,340.450,351.250
25,40019026,JH,351.250,366.170
26,40019027,JH,366.170,380.490
27,40019028,JH,380.490,409.600
28,40019029,JH,409.600,435.251
29,40019030,JH,435.251,443.170
0,40020001,JH,3.913,20.950
1,40020002,JH,20.950,32.480
2,40020003,JH,32.480,41.820
3,40020004,JH,41.820,53.140
4,40020005,JH,53.140,63.960
5,40020006,JH,63.960,78.060
6,40020007,JH,78.060,89.960
7,40020008,JH,89.960,108.560
8,40020009,JH,108.560,116.130
9,40020010,JH,116.130,126.626
10,40020011,JH,126.626,130.980
11,40020012,JH,130.980,146.810
12,40020013,JH,146.810,157.990
13,40020014,JH,157.990,166.730
14,40020015,JH,166.730,180.670
