id,verse_id,recording_id,start,end
15,40007016,TK,124.325,133.290
16,40007017,TK,133.290,140.370
17,40007018,TK,140.370,147.240
18,40007019,TK,147.240,153.040
19,40007020,TK,153.040,157.190
20,40007021,TK,157.190,167.300
21,40007022,TK,167.300,179.270
22,40007023,TK,179.270,188.400
23,40007024,TK,188.400,198.550
24,40007025,TK,198.550,209.925
25,40007026,TK,209.925,218.750
26,40007027,TK,218.750,230.770
27,40007028,TK,230.770,237.950
28,40007029,TK,237.950,244.280
0,40008001,TK,0.345,5.780
1,40008002,TK,5.780,14.790
2,40008003,TK,14.790,24.660
3,40008004,TK,24.660,37.708
4,40008005,TK,37.708,43.222
5,40008006,TK,43.222,51.330
6,40008007,TK,51.330,56.498
7,40008008,TK,56.498,70.420
8,40008009,TK,70.420,87.608
9,40008010,TK,87.608,96.820
10,40008011,TK,96.820,107.990
11,40008012,TK,107.990,118.390
12,40008013,TK,118.390,128.596
13,40008014,TK,128.596,136.040
14,40008015,TK,136.040,144.650
15,40008016,TK,144.650,156.080
16,40008017,TK,156.080,165.790
17,40008018,TK,165.790,172.250
18,40008019,TK,172.250,181.250
19,40008020,TK,181.250,194.280
20,40008021,TK,194.280,202.730
21,40008022,TK,202.730,210.870
22,40008023,TK,210.870,216.420
23,40008024,TK,216.420,226.890
24,40008025,TK,226.890,234.610
25,40008026,TK,234.610,246.970
26,40008027,TK,246.970,256.250
27,40008028,TK,256.250,271.240
28,40008029,TK,271.240,283.480
29,40008030,TK,283.480,287.640
30,40008031,TK,287.640,296.610
31,40008032,TK,296.610,313.010
32,40008033,TK,313.010,320.820
33,40008034,TK,320.820,331.420
0,40009001,TK,0.546,5.840
1,40009002,TK,5.840,20.160
2,40009003,TK,20.160,26.450
3,40009004,TK,26.450,34.520
4,40009005,TK,34.520,44.750
5,40009006,TK,44.750,58.910
6,40009007,TK,58.910,62.850
7,40009008,TK,62.850,71.900
8,40009009,TK,71.900,86.340
9,40009010,TK,86.340,97.735
10,40009011,TK,97.735,106.990
11,40009012,TK,106.990,114.750
12,40009013,TK,114.750,125.210
13,40009014,TK,125.210,134.680
14,40009015,TK,134.680,150.200
15,40009016,TK,150.200,161.630
16,40009017,TK,161.630,179.200
17,40009018,TK,179.200,194.610
18,40009019,TK,194.610,200.051
19,40009020,TK,200.051,208.610
20,40009021,TK,208.610,214.780
21,40009022,TK,214.780,227.390
22,40009023,TK,227.390,234.560
23,40009024,TK,234.560,244.930
24,40009025,TK,244.930,252.920
25,40009026,TK,252.920,257.210
26,40009027,TK,257.210,268.010
27,40009028,TK,268.010,282.030
28,40009029,TK,282.030,288.814
29,40009030,TK,288.814,297.850
30,40009031,TK,297.850,303.810
31,40009032,TK,303.810,310.450
32,40009033,TK,310.450,320.610
33,40009034,TK,320.610,326.650
34,40009035,TK,326.650,340.880
35,40009036,TK,340.880,352.670
36,40009037,TK,352.670,359.964
37,40009038,TK,359.964,366.010
0,40010001,TK,1.035,14.010
1,40010002,TK,14.010,30.390
2,40010003,TK,30.390,38.420
3,40010004,TK,38.420,44.510
4,40010005,TK,44.510,55.850
5,40010006,TK,55.850,60.690
6,40010007,TK,60.690,67.470
7,40010008,TK,67.470,79.040
8,40010009,TK,79.040,85.100
9,40010010,TK,85.100,95.680
10,40010011,TK,95.680,105.970
11,40010012,TK,105.970,110.290
12,40010013,TK,110.290,122.910
13,40010014,TK,122.910,134.660
14,40010015,TK,134.660,142.940
15,40010016,TK,142.940,154.030
16,40010017,TK,154.030,162.650
17,40010018,TK,162.650,170.100
18,40010019,TK,170.100,180.140
19,40010020,TK,180.140,185.890
20,40010021,TK,185.890,196.910
21,40010022,TK,196.910,204.620
22,40010023,TK,204.620,217.330
23,40010024,TK,217.330,223.340
24,40010025,TK,223.340,236.790
25,40010026,TK,236.790,246.820
26,40010027,TK,246.820,255.180
27,40010028,TK,255.180,267.640
28,40010029,TK,267.640,275.460
29,40010030,TK,275.460,279.830
30,40010031,TK,279.830,284.220
31,40010032,TK,284.220,292.840
32,40010033,TK,292.840,302.190
33,40010034,TK,302.190,309.620
34,40010035,TK,309.620,320.180
35,40010036,TK,320.180,323.690
36,40010037,TK,323.690,334.690
37,40010038,TK,334.690,341.100
38,40010039,TK,341.100,348.760
39,40010040,TK,348.760,355.840
40,40010041,TK,355.840,366.150
41,40010042,TK,366.150,377.710
0,40011001,TK,1.126,11.900
1,40011002,TK,11.900,18.170
2,40011003,TK,18.170,23.950
3,40011004,TK,23.950,31.515
4,40011005,TK,31.515,42.530
5,40011006,TK,42.530,47.690
6,40011007,TK,47.690,58.880
7,40011008,TK,58.880,70.170
8,40011009,TK,70.170,77.790
9,40011010,TK,77.790,88.190
10,40011011,TK,88.190,99.430
11,40011012,TK,99.430,108.120
12,40011013,TK,108.120,112.430
13,40011014,TK,112.430,117.220
14,40011015,TK,117.220,120.850
15,40011016,TK,120.850,129.396
16,40011017,TK,129.396,139.020
17,40011018,TK,139.020,145.160
18,40011019,TK,145.160,159.030
19,40011020,TK,159.030,166.596
20,40011021,TK,166.596,179.160
21,40011022,TK,179.160,186.450
22,40011023,TK,186.450,200.562
23,40011024,TK,200.562,207.810
24,40011025,TK,207.810,221.330
25,40011026,TK,221.330,226.960
26,40011027,TK,226.960,241.090
27,40011028,TK,241.090,247.260
28,40011029,TK,247.260,257.410
29,40011030,TK,257.410,262.640
0,40012001,TK,0.374,11.090
1,40012002,TK,11.090,19.450
2,40012003,TK,19.450,26.680
3,40012004,TK,26.680,39.440
4,40012005,TK,39.440,47.680
5,40012006,TK,47.680,52.410
6,40012007,TK,52.410,60.420
7,40012008,TK,60.420,64.920
8,40012009,TK,64.920,69.000
9,40012010,TK,69.000,81.700
10,40012011,TK,81.700,93.990
11,40012012,TK,93.990,100.600
12,40012013,TK,100.600,110.780
13,40012014,TK,110.780,117.140
14,40012015,TK,117.140,126.320
15,40012016,TK,126.320,130.950
16,40012017,TK,130.950,135.080
17,40012018,TK,135.080,148.440
18,40012019,TK,148.440,154.930
19,40012020,TK,154.930,164.850
20,40012021,TK,164.850,168.460
21,40012022,TK,168.460,178.970
22,40012023,TK,178.970,184.623
23,40012024,TK,184.623,193.680
24,40012025,TK,193.680,207.880
25,40012026,TK,207.880,215.960
26,40012027,TK,215.960,226.910
27,40012028,TK,226.910,233.810
28,40012029,TK,233.810,245.430
29,40012030,TK,245.430,251.810
30,40012031,TK,251.810,262.530
31,40012032,TK,262.530,276.110
32,40012033,TK,276.110,288.220
33,40012034,TK,288.220,298.250
34,40012035,TK,298.250,307.990
35,40012036,TK,307.990,317.870
36,40012037,TK,317.870,324.480
37,40012038,TK,324.480,333.770
38,40012039,TK,333.770,347.760
39,40012040,TK,347.760,359.060
40,40012041,TK,359.060,372.680
41,40012042,TK,372.680,388.070
42,40012043,TK,388.070,397.070
43,40012044,TK,397.070,408.170
44,40012045,TK,408.170,427.150
45,40012046,TK,427.150,436.380
46,40012047,TK,436.380,444.340
47,40012048,TK,444.340,452.450
48,40012049,TK,452.450,459.930
49,40012050,TK,459.930,468.540
0,40013001,TK,0.681,7.590
1,40013002,TK,7.590,17.100
2,40013003,TK,17.100,25.080
3,40013004,TK,25.080,32.910
4,40013005,TK,32.910,43.410
5,40013006,TK,43.410,50.490
6,40013007,TK,50.490,57.610
7,40013008,TK,57.610,67.730
8,40013009,TK,67.730,71.650
9,40013010,TK,71.650,77.760
10,40013011,TK,77.760,88.600
11,40013012,TK,88.600,100.090
12,40013013,TK,100.090,109.880
13,40013014,TK,109.880,122.450
14,40013015,TK,122.450,139.870
15,40013016,TK,139.870,146.860
16,40013017,TK,146.860,158.680
17,40013018,TK,158.680,162.000
18,40013019,TK,162.000,174.940
19,40013020,TK,174.940,182.560
20,40013021,TK,182.560,195.460
21,40013022,TK,195.460,207.780
22,40013023,TK,207.780,221.870
23,40013024,TK,221.870,230.800
24,40013025,TK,230.800,239.340
25,40013026,TK,239.340,245.340
26,40013027,TK,245.340,256.970
27,40013028,TK,256.970,267.720
28,40013029,TK,267.720,276.510
29,40013030,TK,276.510,295.700
30,40013031,TK,295.700,307.670
31,40013032,TK,307.670,322.760
32,40013033,TK,322.760,336.690
33,40013034,TK,336.690,344.190
34,40013035,TK,344.190,354.890
35,40013036,TK,354.890,366.950
36,40013037,TK,366.950,373.780
37,40013038,TK,373.780,384.560
38,40013039,TK,384.560,395.840
39,40013040,TK,395.840,403.200
40,40013041,TK,403.200,412.580
41,40013042,TK,412.580,420.450
42,40013043,TK,420.450,429.940
43,40013044,TK,429.940,446.030
44,40013045,TK,446.030,452.870
45,40013046,TK,452.870,461.300
46,40013047,TK,461.300,469.650
47,40013048,TK,469.650,481.540
48,40013049,TK,481.540,489.620
49,40013050,TK,489.620,497.680
50,40013051,TK,497.680,505.500
51,40013052,TK,505.500,519.570
52,40013053,TK,519.570,526.140
53,40013054,TK,526.140,539.130
54,40013055,TK,539.130,550.200
55,40013056,TK,550.200,557.380
56,40013057,TK,557.380,569.000
57,40013058,TK,569.000,573.970
0,40014001,TK,0.507,5.250
1,40014002,TK,5.250,15.410
2,40014003,TK,15.410,25.400
3,40014004,TK,25.400,30.490
4,40014005,TK,30.490,36.780
5,40014006,TK,36.780,45.830
6,40014007,TK,45.830,51.510
7,40014008,TK,51.510,61.550
8,40014009,TK,61.550,69.230
9,40014010,TK,69.230,74.040
10,40014011,TK,74.040,82.720
11,40014012,TK,82.720,92.300
12,40014013,TK,92.300,102.930
13,40014014,TK,102.930,111.570
14,40014015,TK,111.570,128.830
15,40014016,TK,128.830,136.730
16,40014017,TK,136.730,143.770
17,40014018,TK,143.770,147.220
18,40014019,TK,147.220,164.300
19,40014020,TK,164.300,172.210
20,40014021,TK,172.210,179.090
21,40014022,TK,179.090,190.380
22,40014023,TK,190.380,200.310
23,40014024,TK,200.310,208.840
24,40014025,TK,208.840,216.390
25,40014026,TK,216.390,228.550
26,40014027,TK,228.550,236.590
27,40014028,TK,236.590,245.540
28,40014029,TK,245.540,255.320
29,40014030,TK,255.320,266.070
30,40014031,TK,266.070,276.270
